variant,condition,MAE,RMSE,MAPE
Full (proposed),clean,0.07148881412705575,0.0965325958916049,40.38742999625013
Full (proposed),gaussian_0.5,0.15986764291145125,0.20393806672562068,93.84894518079093
Full (proposed),gaussian_1.0,0.29162221327251675,0.3701576035775076,174.70165220302312
Full (proposed),anomaly_0.05,0.28772284535796355,0.43615141305287625,166.62985975204438
No positional enc.,clean,0.09268209844368017,0.12483998411754106,49.89444938821274
No positional enc.,gaussian_0.5,0.1931604432176112,0.2449174537573159,108.34632871982038
No positional enc.,gaussian_1.0,0.32782830036560706,0.4175249594671971,190.30316096539158
No positional enc.,anomaly_0.05,0.26926673286701097,0.4145464771147888,146.06454919641487
1 encoder layer,clean,0.07256017870757756,0.10042898378686771,43.9689405672356
1 encoder layer,gaussian_0.5,0.17243485263107075,0.21822724986113382,104.04437439929507
1 encoder layer,gaussian_1.0,0.30280044424714253,0.38088267588755437,169.04447543636175
1 encoder layer,anomaly_0.05,0.28968274218645235,0.464364152358764,176.14872726969793
d_model=32,clean,0.08182659504455395,0.11162475012316693,47.866946225032514
d_model=32,gaussian_0.5,0.1589418318545961,0.20292168496064006,91.97352311373862
d_model=32,gaussian_1.0,0.279327677542398,0.3515161486325001,168.9648912405158
d_model=32,anomaly_0.05,0.2591807574470782,0.3827937342143118,143.87296797413353
No dropout,clean,0.061849889692937816,0.08560745287202241,32.49498355957565
No dropout,gaussian_0.5,0.17342264919106826,0.21934460924498195,99.16807268978371
No dropout,gaussian_1.0,0.3158457643280801,0.3991661476748641,182.30231362560795
No dropout,anomaly_0.05,0.26732624465866694,0.41835664180527915,162.79738232818175
